CASNumber,HazardCode
1333-74-0, H220, Flam. Gas 1
16853-85-3, H260, Water-react. 1
16853-85-3, H314, Skin Corr. 1A
7646-69-7, H260, Water-react. 1
7789-78-8, H260, Water-react. 1
7439-93-2, H260, Water-react. 1
7439-93-2, H314, Skin Corr. 1B
21369-64-2, H250, Pyr. Sol. 1
21369-64-2, H260, Water-react. 1
21369-64-2, H314, Skin Corr. 1A
920-36-5, H250, Pyr. Liq. 1
920-36-5, H260, Water-react. 1
920-36-5, H336, STOT SE 3
920-36-5, H314, Skin Corr. 1A
920-36-5, H400, Aquatic Acute 1
920-36-5, H410, Aquatic Chronic 1
7440-41-7, H350i, Carc. 1B
7440-41-7, H330, Acute Tox. 2
7440-41-7, H301, Acute Tox. 3
7440-41-7, H335, STOT SE 3
7440-41-7, H372, STOT RE 1
7440-41-7, H315, Skin Irrit. 2
7440-41-7, H319, Eye Irrit. 2
7440-41-7, H317, Skin Sens. 1
1304-56-9, H350i, Carc. 1B
1304-56-9, H330, Acute Tox. 2
1304-56-9, H301, Acute Tox. 3
1304-56-9, H335, STOT SE 3
1304-56-9, H372, STOT RE 1
1304-56-9, H315, Skin Irrit. 2
1304-56-9, H319, Eye Irrit. 2
1304-56-9, H317, Skin Sens. 1
7637-07-2, H330, Press. Gas
7637-07-2, H314, Acute Tox. 2
10294-34-5, H330, Press. Gas
10294-34-5, H300, Acute Tox. 2
10294-34-5, H314, Acute Tox. 2
10294-33-4, H330, Acute Tox. 2
10294-33-4, H300, Acute Tox. 2
10294-33-4, H314, Skin Corr. 1A
121-43-7, H226, Flam. Liq. 3
121-43-7, H312, Acute Tox. 4
75113-37-0, H341, Muta. 2
75113-37-0, H360FD, Repr. 1B
75113-37-0, H312, Acute Tox. 4
75113-37-0, H302, Acute Tox. 4
75113-37-0, H372, STOT RE 1
75113-37-0, H318, Eye Dam. 1
75113-37-0, H317, Skin Sens. 1
75113-37-0, H400, Aquatic Acute 1
75113-37-0, H410, Aquatic Chronic 1
10043-35-3, H360FD, Repr. 1B
11113-50-1, H360FD, Repr. 1B
1303-86-2, H360FD, Repr. 1B
120307-06-4, H317, Skin Sens. 1
120307-06-4, H400, Aquatic Acute 1
120307-06-4, H410, Aquatic Chronic 1
118612-00-3, H351, Carc. 2
118612-00-3, H302, Acute Tox. 4
118612-00-3, H315, Skin Irrit. 2
118612-00-3, H318, Eye Dam. 1
1330-43-4, H360FD, Repr. 1B
12267-73-1, H360FD, Repr. 1B
13840-56-7, H360FD, Repr. 1B
1303-96-4, H360FD, Repr. 1B
12179-04-3, H360FD, Repr. 1B
141714-54-7, H317, Skin Sens. 1
141714-54-7, H400, Aquatic Acute 1
141714-54-7, H410, Aquatic Chronic 1
7397-46-8, H250, Pyr. Liq. 1
7397-46-8, H332, Acute Tox. 4
7397-46-8, H312, Acute Tox. 4
7397-46-8, H302, Acute Tox. 4
7397-46-8, H373, STOT RE 2
7397-46-8, H314, Skin Corr. 1B
7397-46-8, H317, Skin Sens. 1
7397-46-8, H413, Aquatic Chronic 4
87199-17-5, H317, Skin Sens. 1
140681-55-6, H302, Acute Tox. 4
140681-55-6, H318, Eye Dam. 1
140681-55-6, H317, Skin Sens. 1
140681-55-6, H412, Aquatic Chronic 3
15120-21-5, H272, Ox. Sol. 2
15120-21-5, H360Df, Repr. 1B
15120-21-5, H302, Acute Tox. 4
15120-21-5, H335, STOT SE 3
15120-21-5, H318, Eye Dam. 1
7632-04-4, H272, Ox. Sol. 2
7632-04-4, H360Df, Repr. 1B
7632-04-4, H302, Acute Tox. 4
7632-04-4, H335, STOT SE 3
7632-04-4, H318, Eye Dam. 1
15120-21-5, H272, Ox. Sol. 2
15120-21-5, H360Df, Repr. 1B
15120-21-5, H331, Acute Tox. 3
15120-21-5, H302, Acute Tox. 4
15120-21-5, H335, STOT SE 3
